indicator_id,serie_id,value,performance,reliability,source,city_1_id,city_1_serie,city_1_value,city_1_performance,city_2_id,city_2_serie,city_2_value,city_2_performance,city_3_id,city_3_serie,city_3_value,city_3_performance,city_4_id,city_4_serie,city_4_value,city_4_performance
"65,""1"",""6.3"",""0"",""A2"",""MGP|DIE"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"66,""1"",""32.3"",""0"",""N/D"",""N/D"",""ASU"",""2014"",""10.65"",""3"",""CBB"",""2013"",""14"",""3"",""LAP"",""2012"",""60"",""1"",""MVD"",""2012"",""27.1"",""2"""
"67,""1"",""SI"",""0"",""A1"",""Elaboración propia"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"68,""1"",""N/D"",""0"",""N/D"",""N/D"",""CBB"",""2013"",""30"",""2"",""PRA"",""2012"",""15"",""1"",""LAP"",""2012"",""37.5"",""2"",""MVD"",""2009"",""19"",""1"""
"69,""1"",""N/D"",""0"",""N/D"",""N/D"",""CBB"",""2013"",""72"",""3"",""ZAL"",""2015"",""22"",""1"",""LAP"",""2011"",""32.5"",""2"",""MVD"",""2009"",""40"",""2"""
"70,""1"",""0.6"",""0"",""A2"",""MGP| DIE"",""ASU"",""2015"",""0.21"",""1"",""FLN"",""2014"",""0.5"",""3"",""LAP"",""2011"",""0.64"",""3"",""MVD"",""2009"",""0.26"",""1"""
"71,""1"",""13"",""0"",""A1"",""MGP| Dirección de Informática"",""ASU"",""2012"",""35"",""3"",""FLN"",""2014"",""3"",""1"",""LAP"",""2012"",""3"",""1"",""MVD"",""2011"",""7"",""1"""
"72,""1"",""SI/NO"",""0"",""A1"",""MGP| Dirección de Movilidad"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"73,""1"",""9493"",""0"",""N/D"",""N/D"",""ASU"",""2014"",""5046"",""2"",""FLN"",""2011"",""16999"",""1"",""LAP"",""2010"",""9052"",""1"",""MVD"",""2010"",""15823"",""1"""
"74,""1"",""8.95"",""0"",""B2"",""INDEC"",""ASU"",""2014"",""6.9"",""1"",""FLN"",""2013"",""5"",""1"",""LAP"",""2012"",""4.4"",""1"",""MVD"",""2011"",""6.8"",""1"""
"75,""1"",""32.5"",""0"",""B2"",""FCEyS, en base a EPH"",""ASU"",""2014"",""17.55"",""1"",""FLN"",""2010"",""41.5"",""3"",""LAP"",""2012"",""17.9"",""1"",""MVD"",""2009"",""26"",""2"""
"76,""1"",""51.87"",""0"",""A3"",""EMTUR - BNA"",""PRA"",""2013"",""78"",""0"",""ZAL"",""2012"",""52"",""0"",""SLA"",""2013"",""81.74"",""0"","""","""","""","""""
"77,""1"",""26.1"",""0"",""A3"",""EMTUR"",""PRA"",""2013"",""57.02"",""0"",""ZAL"",""2012"",""41"",""0"",""SLA"",""2012"",""32"",""0"","""","""","""","""""
"78,""1"",""50.4"",""0"",""N/D"",""EMTUR"",""PRA"",""2013"",""67.39"",""0"",""ZAL"",""2012"",""60"",""0"",""SLA"",""2012"",""29.8"",""0"","""","""","""","""""
"79,""1"",""3.55"",""0"",""A3"",""EMTUR"",""PRA"",""2013"",""2.6"",""0"",""ZAL"",""2012"",""5.1"",""0"",""SLA"",""2012"",""2.55"",""0"","""","""","""","""""
"80,""1"",""N/D"",""0"",""A1"",""N/D"",""PRA"",""2013"",""0"",""0"","""","""","""","""","""","""","""","""","""","""","""","""""
"81,""1"",""N/D"",""0"",""A1"",""EMTUR"",""PRA"",""2013"",""91.32"",""0"","""","""","""","""","""","""","""","""","""","""","""","""""
"82,""1"",""N/D"",""0"",""B2"",""EMTUR CEBRA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"83,""1"",""N/D"",""0"",""N/D"",""EMTUR AHyG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"84,""1"",""11.65"",""0"",""B2"",""FCEyS, en base a EPH"",""PRA"",""2013"",""2.34"",""0"",""ZAL"",""2012"",""2.1"",""0"",""SLA"",""2012"",""7.64"",""0"","""","""","""","""""
"85,""1"",""23.33"",""0"",""N/D"",""N/D"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"86,""1"",""18.64"",""0"",""N/D"",""N/D"",""ASU"",""2014"",""24.55"",""1"",""FLN"",""2010"",""21.43"",""1"",""LAP"",""2012"",""31"",""1"",""MVD"",""2012"",""11.41"",""2"""
"87,""1"",""12.24"",""0"",""N/D"",""N/D"",""ASU"",""2014"",""68.2"",""1"",""FLN"",""2013"",""43.56"",""1"",""CBB"",""2013"",""66.94"",""1"",""MVD"",""2012"",""13.5"",""2"""
"88,""1"",""103.48"",""0"",""N/D"",""N/D"",""ASU"",""2014"",""99.4"",""1"",""FLN"",""2013"",""149"",""1"",""CBB"",""2013"",""89"",""2"",""MVD"",""2012"",""132.19"",""1"""
"89,""1"",""98"",""0"",""N/D"",""INDEC"",""ASU"",""2012"",""97.7"",""1"",""FLN"",""2013"",""97.9"",""1"",""LAP"",""2012"",""86"",""3"",""MVD"",""2012"",""98.2"",""1"""
"90,""1"",""74"",""0"",""N/D"",""N/D"",""PRA"",""2010"",""71.1"",""0"",""FLN"",""2011"",""49"",""0"",""SLA"",""2010"",""73"",""0"","""","""","""","""""
"91,""1"",""72"",""0"",""N/D"",""N/D"",""PRA"",""2010"",""64.7"",""0"",""FLN"",""2011"",""44"",""0"",""SLA"",""2010"",""67"",""0"","""","""","""","""""
"92,""1"",""25"",""0"",""A2"",""SAD -  DIEPREGEP"",""ASU"",""2014"",""16"",""2"",""FLN"",""2012"",""17"",""2"",""LAP"",""2011"",""19.6"",""2"",""MVD"",""2010"",""17.6"",""0"""
"93,""1"",""90"",""0"",""B4"",""N/D"",""ASU"",""2014"",""59"",""3"",""FLN"",""2012"",""71.8"",""2"",""CBB"",""2013"",""3.37"",""3"",""PRA"",""2011"",""72.77"",""0"""
"94,""1"",""98"",""0"",""B4"",""N/D"",""ASU"",""2012"",""97.1"",""2"",""FLN"",""2012"",""88.6"",""3"",""LAP"",""2011"",""98.46"",""1"",""PRA"",""2011"",""63.6"",""3"""
"95,""1"",""91"",""0"",""B4"",""N/D"",""ASU"",""2012"",""94.2"",""2"",""FLN"",""2012"",""88.6"",""3"",""LAP"",""2012"",""51"",""3"",""PRA"",""2011"",""97.42"",""1"""
"96,""1"",""75"",""0"",""B4"",""N/D"",""ASU"",""2012"",""76.5"",""2"",""FLN"",""2012"",""90.9"",""1"",""LAP"",""2011"",""0.51"",""3"",""MVD"",""2009"",""72.5"",""2"""
"97,""1"",""5134"",""0"",""A2"",""UNMDP, UFASTA, UCAECE, UAA, UTN -  MGP|DIE"",""CBB"",""2013"",""6570"",""1"",""FLN"",""2015"",""2722"",""2"",""LAP"",""2010"",""5809"",""1"",""MVD"",""2009"",""9717"",""1"""
"98,""1"",""7.5"",""0"",""A2"",""CEMAED - MGP|DIE"",""ASU"",""2014"",""3.66"",""1"",""FLN"",""2013"",""11.25"",""2"",""LAP"",""2011"",""3.57"",""1"",""MVD"",""2012"",""8"",""1"""
"99,""1"",""6.1"",""0"",""A2"",""CEMAED"",""CBB"",""2014"",""56"",""3"",""PRA"",""2012"",""3.57"",""1"",""LAP"",""2010"",""7"",""1"","""","""","""","""""
"100,""1"",""38.59"",""0"",""N/D"",""N/D"",""CBB"",""2014"",""48.7"",""3"",""PRA"",""2008"",""32"",""2"",""LAP"",""2010"",""22"",""1"",""MVD"",""2012"",""26.88"",""2"""
"101,""1"",""84.3"",""0"",""A1"",""CEMAED"",""CBB"",""2014"",""38"",""2"",""PRA"",""2015"",""32"",""2"",""LAP"",""2010"",""33"",""2"",""MVD"",""2012"",""63"",""3"""
"102,""1"",""1121.28"",""0"",""A2"",""Fiscalía General- Departamento Judicial Mar del Plata - MGP|DIE"",""ASU"",""2014"",""147.2"",""1"",""CBB"",""2011"",""65"",""1"",""LAP"",""2010"",""42.9"",""1"",""MVD"",""2010"",""865"",""2"""
"103,""1"",""50"",""0"",""N/D"",""N/D"",""CBB"",""2013"",""2"",""1"",""PRA"",""2008"",""11.49"",""1"",""ZAL"",""2012"",""57.5"",""1"",""MVD"",""2010"",""65.92"",""1"""
"104,""1"",""450.08"",""0"",""A2"",""Fiscalía General- Departamento Judicial Mar del Plata - MGP|DIE"",""ASU"",""2014"",""634.1"",""1"",""FLN"",""2015"",""2914"",""1"",""LAP"",""2010"",""1126"",""1"",""MVD"",""2010"",""3956"",""2"""
"105,""1"",""38.22"",""0"",""N/D"",""N/D"",""CBB"",""2013"",""2"",""1"",""PRA"",""2008"",""9.62"",""1"",""ZAL"",""2012"",""34.9"",""2"",""MVD"",""2012"",""48.16"",""3"""
"106,""1"",""54"",""0"",""A2"",""EPC"",""ASU"",""2014"",""35"",""2"",""PRA"",""2013"",""16"",""3"",""CBB"",""2014"",""29"",""3"",""MVD"",""2011"",""45"",""2"""
"107,""1"",""32"",""0"",""N/D"",""N/D"",""CBB"",""2014"",""3"",""3"",""PRA"",""2013"",""58"",""1"",""MVD"",""2012"",""27"",""0"","""","""","""","""""
"108,""1"",""SI"",""0"",""N/A"",""N/D"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"109,""1"",""74.9"",""0"",""N/D"",""N/D"",""ASU"",""2013"",""72"",""2"",""FLN"",""2013"",""77.7"",""1"",""LAP"",""2010"",""75.8"",""1"",""MVD"",""2006"",""75.6"",""1"""
"110,""1"",""72.6"",""0"",""N/D"",""N/D"",""ASU"",""2012"",""70.2"",""1"",""FLN"",""2013"",""73.6"",""1"",""LAP"",""2010"",""73.8"",""1"",""MVD"",""2006"",""72.12"",""1"""
"111,""1"",""77.2"",""0"",""N/D"",""N/D"",""ASU"",""2012"",""74.4"",""2"",""FLN"",""2013"",""81.8"",""1"",""LAP"",""2010"",""78.6"",""1"",""MVD"",""2006"",""79.52"",""1"""
"112,""1"",""10.9"",""0"",""A1"",""MGP| DIE"",""ASU"",""2014"",""13.7"",""1"",""FLN"",""2012"",""10.6"",""1"",""LAP"",""2010"",""17"",""1"",""MVD"",""2008"",""1.06"",""1"""
"113,""1"",""4.6"",""0"",""A2"",""Colegio de Médicos Distrito IX - MGP| DIE"",""ASU"",""2012"",""0.68"",""1"",""FLN"",""2015"",""14.33"",""1"",""LAP"",""2009"",""2.9"",""1"",""MVD"",""2012"",""8.64"",""1"""
"114,""1"",""217"",""0"",""A2"",""Zona Sanitaria VIII -  FECLIBA y otros establecimientos privados de salud - MGP| DIE"",""ASU"",""2012"",""400"",""1"",""FLN"",""2015"",""430"",""1"",""CBB"",""2011"",""197"",""1"",""MVD"",""2012"",""300"",""1"""
"115,""1"",""SI"",""0"",""A1"",""Elaboración propia en base a PEM"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"116,""1"",""SI"",""0"",""A1"",""Elaboración propia en base a MGP"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"117,""1"",""1"",""0"",""A1"",""HCD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"118,""1"",""SI"",""0"",""A1"",""Elaboración propia en base a MGP"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"119,""1"",""SI"",""0"",""A1"",""Elaboración propia en base a MGP"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"120,""1"",""NO"",""0"",""A1"",""Elaboración propia en base a MGP"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"121,""1"",""SI"",""0"",""A1"",""Elaboración propia en base a MGP"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"122,""1"",""N/D"",""0"",""N/A"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
